Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
3 Ser,,3,2 Cap,,135482.0,74649,15h 15m 11.37s,+04° 56′ 21.7″,5.32,−0.46,467,K0III,,,,,,,,,,,,,,,,K0III,4550.0 K,,,,2.77 cgs,1.5 km/s,,False
χ Ser,χ,20,,,140160.0,76866,15h 41m 47.39s,+12° 50′ 51.1″,5.34,1.11,228,A0p Sr,α2 CVn-type variable star,,,,,,,,,,,,,,,A2 Vp MnEu(Sr),9557.0 K,2.11 M☉,2.25 R☉,26.0 L☉,3.66 cgs,1.5948 d,212.0 Myr,False
6 Ser,,6,11 Cap,,136514.0,75119,15h 21m 02.02s,+00° 42′ 56.1″,5.35,0.98,244,K3III,,,,,,,,,,,,,,,,K3 III,4417.0 K,1.27 M☉,12.0 R☉,55.0 L☉,2.4 cgs,2.4 km/s,6.03 Gyr,False
c Ser,c,60,45 Cau,,170474.0,90642,18h 29m 40.96s,−01° 59′ 06.8″,5.38,1.08,236,K0III,,,,,,,,,,,,,,,,K0 III,5059.0 K,1.81 M☉,8.0 R☉,35.0 L☉,2.92 cgs,3.9 km/s,1.26 Myr,False
A2 Ser,A2,25,24 Cap,PT,140873.0,77227,15h 46m 05.65s,−01° 48′ 14.8″,5.39,−0.10,408,B8III,PT Ser,,,,,,,,,,,,,,,B8IV/V,13932.0 K,4.1 M☉,,383.0 L☉,,80.0 km/s,,False
QY Ser,,,,QY,142574.0,77902,15h 54m 34.66s,+20° 18′ 39.1″,5.45,−0.88,601,M0III,,,,,,,,,,,,,,,,,,,,,,,,False
A1 Ser,A1,11,15 Cap,,138562.0,76133,15h 32m 57.95s,−01° 11′ 10.7″,5.5,0.91,270,K0III,,,,,,,,,,,,,,,,K0 III,4767.0 K,1.27 M☉,11.0 R☉,50.0 L☉,2.48 cgs,,2.75 Gyr,False
φ Ser,φ,,,,142980.0,78132,15h 57m 14.64s,+14° 24′ 51.4″,5.54,1.33,227,K1IV,,,,,,,,,,,,,,,,K1 IV,4493.0 K,1.19 M☉,4.2 R☉,41.7 L☉,2.65 cgs,2.0 km/s,3.42 Gyr,False
64 Ser,,64,74 Cau,,175869.0,93051,18h 57m 16.59s,+02° 32′ 07.4″,5.56,−2.08,1101,B9IIIp...,,,,,,,,,,,,,,,,B8 IIIeor B8/9 II,11995.0 K,4.4 M☉,,724.0 L☉,3.47 cgs,171.0 km/s,170.0 Myr,False
4 Ser,,4,3 Cap,,135559.0,74689,15h 15m 49.14s,+00° 22′ 19.6″,5.62,2.15,161,A4V,,,,,,,,,,,,,,,,,,,,,,,,False
45 Ser,,45,,,144874.0,79007,16h 07m 37.55s,+09° 53′ 30.3″,5.63,1.05,269,A7V,,,,,,,,,,,,,,,,,,,,,,,,False
47 Ser,,47,39 Cap,FS,145002.0,79072,16h 08m 28.08s,+08° 32′ 03.6″,5.69,−0.52,568,M3.5IIIa,FS Ser,,,,,,,,,,,,,,,,,,,,,,,False
υ Ser,υ,31,,,141187.0,77336,15h 47m 17.35s,+14° 06′ 55.0″,5.71,1.27,252,A3V,,,,,,,,,,,,,,,,A3 V,8917.0 K,2.9 M☉,2.2 R☉,23.0 L☉,4.0 cgs,133.0 km/s,403.0 Myr,False
e Ser,e,,57 Cau,,171978.0,91322,18h 37m 35.95s,−00° 18′ 33.9″,5.76,−0.72,644,A2V,,,,,,,,,,,,,,,,A0V,,2.5 M☉,3.4 R☉,60.5 L☉,,5.6 km/s,,False
τ7 Ser,τ7,22,,,140232.0,76878,15h 41m 54.76s,+18° 27′ 50.0″,5.8,2.17,174,A2m,,,,,,,,,,,,,,,,A8Vam,7809.0 K,1.8 M☉,1.8 R☉,11.0 L☉,4.2 cgs,78.0 km/s,839.0 Myr,False
3 Her,,(3),34 Cap,,143553.0,78442,16h 00m 51.16s,+04° 25′ 37.8″,5.82,1.49,239,K0III:,,,,,,,,,,,,,,,,,,,,,,,,False
ψ Ser,ψ,23,20 Cap,,140538.0,77052,15h 44m 01.85s,+02° 30′ 55.9″,5.86,5.03,48,G5V,Triple star; solar analog,,,,,,,,,,,,,,,G5 V+ (M3 + M3),5667.0 K,0.995 M☉,0.95 R☉,0.837 L☉,4.47 cgs,11.01 km/s,3.2 Gyr,False
FL Ser,,,,FL,134943.0,74386,15h 12m 04.27s,+18° 58′ 33.6″,5.9,−1.13,830,M4III,,,,,,,,,,,,,,,,,,,,,,,,False
τ5 Ser,τ5,18,,,139225.0,76424,15h 36m 29.20s,+16° 07′ 08.8″,5.93,2.48,160,F3V,,,,,,,,,,,,,,,,F3V,6903.0 K,1.54 M☉,,10.0 L☉,3.96 cgs,88.0 km/s,1.9 Gyr,False
61 Ser,,61,48 Cau,,170920.0,90844,18h 31m 56.99s,−01° 00′ 10.7″,5.93,−0.28,570,A4III,,,,,,,,,,,,,,,,,,,,,,,,False
τ6 Ser,τ6,19,,,140027.0,76810,15h 40m 59.09s,+16° 01′ 28.7″,6.0,0.30,450,G8III,,,,,,,,,,,,,,,,G8III,5126.0 K,3.2 M☉,15.0 R☉,137.0 L☉,2.64 cgs,45.0 km/s,310.0 Myr,False
39 Ser,,39,,,142267.0,77801,15h 53m 12.19s,+13° 11′ 52.8″,6.07,4.86,57,G0IV,,,,,,,,,,,,,,,,,,,,,,,,False
43 Ser,,43,35 Cap,,144046.0,78685,16h 03m 45.71s,+04° 59′ 12.5″,6.07,0.68,389,G9III,,,,,,,,,,,,,,,,,,,,,,,,False
τ3 Ser,τ3,15,,,139074.0,76337,15h 35m 33.28s,+17° 39′ 20.1″,6.1,0.58,414,G8III:,,,,,,,,,,,,,,,,G8III:,4864.0 K,2.703 M☉,9.68 R☉,47.28 L☉,2.478 cgs,,502.0 Myr,False
8 Ser,,8,12 Cap,,137006.0,75342,15h 23m 43.67s,−01° 01′ 20.3″,6.11,2.41,179,F0V,,,,,,,,,,,,,,,,,,,,,,,,False
NW Ser,,,35 Cau,NW,168797.0,89977,18h 21m 28.40s,+05° 26′ 08.7″,6.14,−3.93,3361,B3Ve,Be star,,,,,,,,,,,,,,,,,,,,,,,False
τ8 Ser,τ8,26,,,140729.0,77111,15h 44m 42.15s,+17° 15′ 51.2″,6.15,1.18,321,A0V,,,,,,,,,,,,,,,,A0V,9727.0 K,2.5 M☉,2.3 R☉,44.0 L☉,4.09 cgs,117.0 km/s,,False
HD 157968,,(47),5 Cau,,157968.0,85397,17h 27m 02.12s,−12° 30′ 44.4″,6.2,2.92,148,F7V,,,,,,,,,,,,,,,,,,,,,,,,False
τ2 Ser,τ2,12,,,138527.0,76069,15h 32m 09.68s,+16° 03′ 22.1″,6.22,0.61,431,B9V,,,,,,,,,,,,,,,,B9V,10839.0 K,2.89 M☉,2.7 R☉,96.4 L☉,,154.0 km/s,278.0 Myr,False
40 Ser,,40,32 Cap,FP,142500.0,77910,15h 54m 40.27s,+08° 34′ 49.2″,6.28,1.94,241,A7Vn,FP Ser; Delta Scuti-type,,,,,,,,,,,,,,,,,,,,,,,False
7 Ser,,7,,,136831.0,75230,15h 22m 23.24s,+12° 34′ 03.1″,6.29,0.62,445,A0V,,,,,,,,,,,,,,,,,,,,,,,,False
MV Ser,,,49 Cau,MV,170973.0,90858,18h 32m 06.88s,+03° 39′ 34.5″,6.41,−1.41,1194,A0sp...,α2 CVn-type variable star,,,,,,,,,,,,,,,,,,,,,,,False
FQ Ser,,,40 Cap,FQ,145050.0,79086,16h 08m 36.53s,+08° 36′ 47.7″,6.47,0.69,468,M4III,,,,,,,,,,,,,,,,,,,,,,,,False
FR Ser,,,51 Cau,FR,171586.0,91142,18h 35m 36.48s,+04° 56′ 09.8″,6.47,1.41,335,A2pvar,α2 CVn-type variable star,,,,,,,,,,,,,,,,,,,,,,,False
τ4 Ser,τ4,17,,,139216.0,76423,15h 36m 28.19s,+15° 06′ 05.0″,6.51,0.50,520,M5II-III,semiregular variable star,,,,,,,,,,,,,,,M5IIIa,3178.0 K,3.9 M☉,239.0 R☉,4969.0 L☉,0.14 cgs,,,False
14 Ser,,14,19 Cap,,139137.0,76427,15h 36m 33.72s,−00° 33′ 41.3″,6.51,0.52,514,G8III+...,,,,,,,,,,,,,,,,,,,,,,,,False
29 Ser,,29,45 Cap,,141040.0,77249,15h 46m 24.02s,+15° 31′ 36.1″,6.7,−0.19,780,A3,,,,,,,,,,,,,,,,,,,,,,,,False
46 Ser,,46,,,144937.0,79047,16h 08m 05.73s,+10° 04′ 49.8″,6.74,1.55,355,A3,,,,,,,,,,,,,,,,,,,,,,,,False
• Name = Proper name  • B = Bayer designation  • F or/and G. = Flamsteed designation or Gould designation  • Var = Variable star designation  • HD = Henry Draper Catalogue designation number  • HIP = Hipparcos Catalogue designation number  • RA = Right ascension for the Epoch/Equinox J2000.0  • Dec = Declination for the Epoch/Equinox J2000.0,"• vis. mag. = visual magnitude (m or mv), also known as apparent magnitude  • abs. mag. = absolute magnitude (Mv)  • Dist. (ly) = Distance in light-years from Earth  • Sp. class = Spectral class of the star in the stellar classification system  • Notes = Common name(s) or alternate name(s); comments; notable properties [for example: multiple star status, range of variability if it is a variable star, exoplanets, etc.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
