Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
V2093 Cyg,,,V2093,187880.0,97651.0,19h 50m 46.87s,+37° 49′ 34.7″,6.13,−3.96,3396,M3III,,,,,,,,,,False
V2100 Cyg,,,V2100,189775.0,98379.0,19h 59m 15.34s,+52° 03′ 20.5″,6.14,−0.72,769,B5III,α2CVn variable,,,,,,,,,False
V1981 Cyg,,,V1981,200527.0,103828.0,21h 02m 24.20s,+44° 47′ 27.6″,6.18,−1.71,1235,M3Ib-II:,semiregular variable,,,,,,,,,False
CP Cyg,,,CP,205939.0,106752.0,21h 37m 27.88s,+44° 41′ 47.8″,6.19,−0.35,661,A7III,variable,,,,,,,,,False
V1619 Cyg,,,V1619,207857.0,107856.0,21h 51m 04.97s,+39° 32′ 11.9″,6.20,−1.39,1072,B9p HgMn,α2CVn variable,,,,,,,,,False
44 Cyg,,44.0,,195593.0,101214.0,20h 30m 59.23s,+36° 56′ 09.1″,6.21,−2.22,1583,F5Iab,,,,,,,,,,False
16 Cyg,c,16.0,,186427.0,96901.0,19h 41m 52.10s,+50° 31′ 04.5″,6.25,4.60,70,G5V,component of the 16 Cyg system; has a planet (b),G1.5Vb / G2.5Vb / M?V[citation needed],5830.0 K,1.08 M☉,1.229 R☉,1.55 L☉,4.292 cgs,23.8 d,7.07 Gyr,False
V819 Cyg,,,V819,188439.0,97845.0,19h 53m 01.25s,+47° 48′ 27.9″,6.30,−3.53,3019,B0.5IIIn,β Cep variable,,,,,,,,,False
48 Cyg,,48.0,,196606.0,101765.0,20h 37m 31.77s,+31° 34′ 21.1″,6.32,−0.58,784,B8IIIn,,,,,,,,,,False
V2136 Cyg,,,V2136,198625.0,102827.0,20h 49m 54.64s,+46° 39′ 40.8″,6.33,−0.92,918,B4V,,,,,,,,,,False
V1817 Cyg,,,V1817,184398.0,96003.0,19h 31m 13.56s,+55° 43′ 54.8″,6.37,−1.17,1052,K2II-IIIcomp,RS CVn variable,,,,,,,,,False
V2090 Cyg,,,V2090,186702.0,97142.0,19h 44m 38.17s,+34° 24′ 51.0″,6.39,−0.64,830,M1III,,,,,,,,,,False
V2173 Cyg,,,V2173,208727.0,108348.0,21h 57m 02.20s,+48° 40′ 07.0″,6.42,,985,B8V,,,,,,,,,,False
V1351 Cyg,,,V1351,186532.0,96919.0,19h 42m 04.13s,+55° 27′ 47.9″,6.42,−0.44,767,M5IIIa,,,,,,,,,,False
V1765 Cyg,,,V1765,187459.0,97485.0,19h 48m 50.60s,+33° 26′ 14.3″,6.42,−2.74,2218,B0.5Ibvar,β Lyr variable,,,,,,,,,False
