Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
κ Hya,κ,38,173.0,,83754.0,47452.0,09h 40m 18.38s,−14° 19′ 56.1″,5.07,−0.92,515.0,B4IV/V,Al Sharāsīf,B4 IV/V,16150.0 K,5.0 M☉,3.4 R☉,328.0 L☉,,115.0 km/s,30.7 Myr,False
50 Hya,,50,370.0,,124206.0,69415.0,14h 12m 46.03s,−27° 15′ 40.0″,5.07,0.83,229.0,K2III,,,,,,,,,,False
44 Hya,,44,230.0,,91550.0,51718.0,10h 34m 00.89s,−23° 44′ 42.8″,5.08,−1.36,633.0,K5III,,,,,,,,,,False
HD 100393,,(18),287.0,,100393.0,56332.0,11h 32m 54.15s,−31° 05′ 14.0″,5.13,−0.58,453.0,M1/M2III,18 Crateris,,,,,,,,,False
54 Hya,m,54,382.0,,129926.0,72197.0,14h 46m 00.18s,−25° 26′ 34.5″,5.15,2.73,99.0,F0V + G/K,,,,,,,,,,False
HD 101666,,(26),295.0,,101666.0,57047.0,11h 41m 43.95s,−32° 29′ 57.6″,5.2,−0.40,430.0,K5III,26 Crateris,,,,,,,,,False
47 Hya,,47,365.0,,121847.0,68269.0,13h 58m 31.18s,−24° 58′ 19.8″,5.2,0.11,339.0,B8V,,,,,,,,,,False
HD 94388,b3,(6),257.0,,94388.0,53252.0,10h 53m 29.48s,−20° 08′ 17.3″,5.23,2.75,102.0,F6V,6 Crateris,,,,,,,,,False
56 Hya,,56,385.0,,130259.0,72357.0,14h 47m 44.78s,−26° 05′ 14.9″,5.23,0.19,331.0,G8/K0III,,,,,,,,,,False
23 Hya,,23,112.0,,79910.0,45527.0,09h 16m 41.72s,−06° 21′ 11.4″,5.24,0.58,279.0,K2III,,,,,,,,,,False
14 Hya,,14,67.0,KX,75333.0,43305.0,08h 49m 21.74s,−03° 26′ 34.7″,5.3,−0.34,438.0,B9MNp...,KX Hya; α2 CVn variable,,,,,,,,,False
