Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
CO Lac,,,CO,240058.0,112436.0,22h 46m 30.00s,+56° 49′ 31.6″,10.4,,,B9V,"Algol variable, Vmax = 10.28m, Vmin = 10.89m, P = 1.5422075 d",,,,,,,,,False
DE Lac,,,DE,,109420.0,22h 10m 07.77s,+40° 55′ 10.6″,10.43,,2490,F6.5,"δ Sct variable, Vmax = 10.08m, Vmin = 10.43m, P = 0.2536934 d",,,,,,,,,False
VX Lac,,,VX,,,22h 41m 00.56s,+38° 19′ 20.0″,10.51,,,F0,Algol variable,,,,,,,,,False
CZ Lac,,,CZ,,110213.0,22h 19m 30.77s,+51° 28′ 14.9″,10.77,,,F1,"RR Lyr variable, Vmax = 10.77m, Vmin = 11.26m, P = 0.432205 d",,,,,,,,,False
RW Lac,,,RW,,,22h 44m 57.10s,+49° 39′ 27.6″,10.81,,,F2,Algol variable,,,,,,,,,False
AW Lac,,,AW,,,22h 17m 57.89s,+54° 28′ 02.3″,10.95,,,B2,Beta Lyrae variable,,,,,,,,,False
V345 Lac,,,V345,,,22h 18m 43.34s,+54° 40′ 33.4″,11.32,,,B5,Algol variable,,,,,,,,,False
PP Lac,,,PP,,,22h 42m 38.66s,+53° 25′ 02.8″,11.85,,,G5,W UMa variable,,,,,,,,,False
DI Lac,,,DI,214239.0,,22h 35m 48.48s,+52° 42′ 59.7″,14.9,,,sd:Be+...,nova,,,0.91 M☉,,,,,,False
CP Lac,,,CP,,,22h 15m 41.09s,+55° 37′ 01.4″,17.7,,,G5,"nova, Vmax = 2.0m, Vmin = 17.7m",,,,,,,,,False
DK Lac,,,DK,,,22h 49m 46.91s,+51° 17′ 19.3″,19.4,,,,nova,,,1.03 M☉,,,,,,False
DK Lac,,,DK,,,22h 2m 19.94s,+38° 1′ 26.78″,9.112,,,,nova,,,1.03 M☉,,,,,,False
