Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
56 Cet,,56,190.0,,11930.0,9061.0,01h 56m 40.16s,−22° 31′ 36.2″,4.92,−0.52,399.0,K3III,,K3III,4099.0 K,,39.2 R☉,391.0 L☉,1.85 cgs,,,False
3 Cet,,3,8.0,,225212.0,355.0,00h 04m 30.12s,−10° 30′ 34.2″,4.99,−3.47,1606.0,K3Ibvar,suspected variable,K3 IIIor K3 Ib,4152.0 K,9.0 M☉,182.0 R☉,7877.0 L☉,0.9 cgs,5.8 km/s,29.7 Myr,False
94 Cet,,94,316.0,,19994.0,14954.0,03h 12m 46.32s,−01° 11′ 45.4″,5.07,3.32,73.0,F8V,has a planet (b),F8V / M3V / M,6055.0 K,1.3 M☉,1.898 R☉,4.02 L☉,3.98 cgs,12.2 d,4.8 Gyr,False
48 Cet,,48,157.0,,9132.0,6960.0,01h 29m 36.10s,−21° 37′ 45.6″,5.11,0.95,221.0,A0V,double star,,,,,,,,,False
37 Cet,,37,118.0,,7439.0,5799.0,01h 14m 23.97s,−07° 55′ 24.6″,5.14,3.20,79.0,F5V,suspected variable,,,,,,,,,False
φ2 Cet,φ2,19,84.0,,4813.0,3909.0,00h 50m 07.72s,−10° 38′ 37.6″,5.17,4.22,50.0,F7IV-V,part of Al Nitham (φ Cet),F7V,6352.0 K,1.19 M☉,1.17 R☉,1.852 L☉,4.45 cgs,4.3 km/s,1.9 Gyr,False
13 Cet,,13,54.0,BU,3196.0,2762.0,00h 35m 14.64s,−03° 35′ 33.9″,5.2,3.58,69.0,F8V...,"BU Cet; RS CVn variable, ΔV = ~0.10m",F6 V + G4 V + K3.5 V,6457.0 K,1.18 M☉,,2.63 L☉,,,3.8 Gyr,False
69 Cet,,69,236.0,,14652.0,11021.0,02h 21m 56.64s,+00° 23′ 44.5″,5.29,−2.73,1309.0,M2III,,M1/2III,3765.0 K,,100.0 R☉,1813.0 L☉,,,,False
φ3 Cet,φ3,22,94.0,,5437.0,4371.0,00h 56m 01.51s,−11° 15′ 59.4″,5.35,−0.67,522.0,K4III,part of Al Nitham (φ Cet),K5 III,3974.0 K,1.4 M☉,44.33 R☉,441.0 L☉,1.67 cgs,1.0 km/s,,False
75 Cet,,75,260.0,,15779.0,11791.0,02h 32m 09.44s,−01° 02′ 05.3″,5.36,0.80,266.0,G3III:,has a planet (b),K1 IIIor G3 III,4830.0 K,1.92 M☉,10.57 R☉,51.8 L☉,2.67 cgs,3.2 km/s,1.41 Gyr,False
25 Cet,,25,102.0,,6203.0,4914.0,01h 03m 02.60s,−04° 50′ 10.9″,5.4,−0.10,410.0,K0III-IV,,,,,,,,,,False
50 Cet,,50,169.0,,9856.0,7450.0,01h 35m 58.96s,−15° 24′ 00.8″,5.41,−0.72,549.0,K1III,,,,,,,,,,False
