Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
V371 Ori,,,V371,,26081.0,05h 33m 44.81s,+01° 56′ 43.4″,11.5,,51.0,M2.5V,Wachmann's Flare Star; flare star,,,,,,,,,False
Ross 87,,,V1352,,26857.0,05h 42m 09.27s,+12° 29′ 21.6″,11.51,,19.0,M4.0V,"BY Dra variable, Vmax = 11.48m, Vmin = 11.55m",,,,,,,,,False
GP Ori,,,GP,286340,,05h 02m 48.07s,+15° 19′ 12.6″,12.2,,,SC7/8,semiregular variable,,,,,,,,,False
RX J0529.4+0041,,,V1642,,,05h 29m 20.65s,+00° 41′ 28.0″,12.3,,,K2,"Algol variable, Vmax = 12.03m, Vmin = 13.07m, P = 3.04 d",,,,,,,,,False
GU Ori,,,GU,,,06h 10m 04.62s,+12° 49′ 46.6″,,,,,"W UMa variable, Vmax = 12.5m, Vmin = 13.3m, P = 0.47 d",,,,,,,,,False
YY Ori,,,YY,,,05h 34m 47.53s,−05° 57′ 56.9″,13.2,,,K2IVe,prototype YY Orionis star,,,,,,,,,False
LV 2,θ1 G,41.0,,,,05h 35m 16.72s,−05° 23′ 16.6″,13.68,,1600.0,K0.7,component of the Trapezium; has a protoplanetary disk,,,,,,,,,False
G 99-47,,,V1201,,,05h 56m 25.47s,+05° 21′ 48.6″,14.1,,26.0,DA8P,"variable white dwarf, Vmax = 13m, Vmin = 14.12m",DAP8.9,5790.0 K,0.71 M☉,0.011 R☉,,8.2 cgs,,3.97 Gyr,False
V1118 Ori,,,V1118,,,05h 34m 44.75s,−05° 33′ 42.2″,14.43,,,M1e,EXor,,,,,,,,,False
V1159 Ori,,,V1159,,,05h 28m 59.57s,−03° 33′ 52.3″,,,,,ER UMa variable,,,,,,,,,False
VY Ori,,,VY,,,05h 33m 35.89s,−05° 01′ 32.49″,14.9,,,,variable star,,,,,,,,,False
V1309 Ori,,,V1309,,,05h 15m 41.41s,+01° 04′ 40.5″,15.2,,,WD+M0V,"polar, Vmax = 15.2m, Vmin = 18.2m",,,,,,,,,False
CN Ori,,,CN,,,05h 52m 07.79s,−05° 25′ 00.5″,16.2,,,,"SS Cyg variable, Vmax = 12.1m, Vmin = 16.2m",,,,,,,,,False
CZ Ori,,,CZ,,,06h 16m 43.23s,+15° 24′ 11.3″,17.6,,,,"SS Cygni variable, Vmax = 12.1m, Vmin = 17.6m",,,,,,,,,False
V1647 Ori,,,V1647,,,05h 46m 13.14s,−00° 06′ 04.8″,18.1,,,,"EXor, Vmax = 18.1m, Vmin = <20m",M3.9,3773.15 [citation needed]K,0.8 M☉,3.0 [citation needed]R☉,44.0 (Eruption)L☉,,1.0 day[citation needed,0.5 Myr,False
4U 0614+091,,,V1055,,,06h 17m 07.3s,+09° 08′ 13″,18.5,,,,low-mass X-ray binary; producing relativistic jets,,,,,,,,,False
Becklin–Neugebauer Object,,,V2254,,,05h 35m 14.11s,−05° 22′ 22.7″,,,,B,Orion variable; well-studied protostar,B,,7.0 M☉,,,,,,False
2MASS J05352184-0546085,,,V2384,,,05h 35m 21.84s,−05° 46′ 08.6″,,,,M7,eclipsing binary brown dwarf,M6.5±0.5,2715.0 K,0.0572 M☉,0.69 R☉,,3.52 cgs,3.293 d,1.0 Myr,False
OMC-2 FIR 4,,,V2457,,,05h 35m 26.97s,−05° 09′ 54.5″,,,,M7,has a circumstellar disk; Orion variable,,,,,,,,,False
