Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
14 Ari,,14,,13174.0,10053.0,02h 09m 25.29s,+25° 56′ 23.9″,4.98,0.02,320.0,F2III,,F2 III,6761.0 K,,4.0 R☉,32.0 L☉,3.2 cgs,139.6 km/s,,False
κ Ari,κ,12,,12869.0,9836.0,02h 06m 33.91s,+22° 38′ 54.3″,5.03,1.23,187.0,A2m,spectroscopic binary,A2m,8421.0 K,2.09 M☉,2.32 R☉,24.4 L☉,4.03 cgs,18.0 km/s,,False
ι Ari,ι,8,,11909.0,9110.0,01h 57m 21.03s,+17° 49′ 03.3″,5.09,−1.44,659.0,K1p...,spectroscopic binary,K1por G8III,5031.0 K,3.17 M☉,20.4 R☉,240.0 L☉,2.6 cgs,3.33 km/s,,False
τ2 Ari,τ2,63,,20893.0,15737.0,03h 22m 45.27s,+20° 44′ 31.6″,5.1,0.15,319.0,K3III,,K3 III,4479.0 K,2.04 M☉,19.0 R☉,120.0 L☉,2.23 cgs,3.4 km/s,1.6 Gyr,False
38 Ari,,38,UV,17093.0,12832.0,02h 44m 57.51s,+12° 26′ 45.5″,5.18,2.26,125.0,A7III-IV,"δ Sct variable, Vmax = 5.18m, Vmin = 5.22m, P = 0.0355 d",A7 III-IV,7638.0 K,,2.1 R☉,11.0 L☉,4.04 cgs,86.0 km/s,0.58 Gyr,False
ε Ari A,ε,48,,18519.0,,02h 59m 12.70s,+21° 20′ 25.0″,5.2,0.16,332.0,A2Vs,part of Al Buṭain; binary star,A2 Vs + A2 Vs,,2.4 M☉,,,,60.0 km/s,,False
η Ari,η,17,,13555.0,10306.0,02h 12m 47.98s,+21° 12′ 39.5″,5.23,2.84,98.0,F5V,,F5 V,6443.0 K,1.3 M☉,1.95 R☉,5.91 L☉,3.97 cgs,9.0 km/s,3.98 Gyr,False
π Ari,π,42,,17543.0,13165.0,02h 49m 17.56s,+17° 27′ 51.6″,5.26,−1.07,603.0,B6V,part of Al Buṭain; spectroscopic binary,B6 V + A0 V + F8 V,16000.0 K,4.4 M☉,,538.0 L☉,4.5 cgs,70.0 km/s,13.0 Myr,False
τ1 Ari,τ1,61,,20756.0,15627.0,03h 21m 13.61s,+21° 08′ 49.7″,5.27,−0.49,462.0,B5IV,triple star system; Beta Lyrae variable,B5 IV,12606.0 K,5.0 M☉,4.45 R☉,234.0 L☉,3.68 cgs,30.0 km/s,54.8 Myr,False
33 Ari,,33,,16628.0,12489.0,02h 40m 41.03s,+27° 03′ 39.6″,5.3,1.03,233.0,A3V,,A3 V,,,,,,107.0 km/s,,False
ν Ari,ν,32,,16432.0,12332.0,02h 38m 49.00s,+21° 57′ 41.2″,5.45,0.32,346.0,A7V,,A7 V,7889.0 K,1.89 M☉,3.28 R☉,37.6 L☉,3.68 cgs,133.0 km/s,621.0 Myr,False
52 Ari A,,52,,19134.0,14376.0,03h 05m 26.69s,+25° 15′ 18.7″,5.45,0.00,402.0,B7Vn,binary star,B7 V + B7 V,12912.0 K,5.12 M☉,3.3 R☉,452.0 L☉,,159.0 km/s,,False
ξ Ari,ξ,24,,14951.0,11249.0,02h 24m 49.04s,+10° 36′ 38.2″,5.48,−0.85,603.0,B7IV,"variable star, ΔV = 0.007m, P = 1.73515 d",B7 IV,13627.0 K,4.85 M☉,,1000.0 L☉,3.897 cgs,164.0 km/s,195.0 Myr,False
ε Ari B,ε,48,,18519.0,13914.0,02h 59m 12.73s,+21° 20′ 25.6″,5.5,0.46,332.0,A2Vs,component of the ε Ari system,A2 Vs + A2 Vs,,2.4 M☉,,,,60.0 km/s,,False
64 Ari,,64,,21017.0,15861.0,03h 24m 18.46s,+24° 43′ 27.1″,5.5,1.26,230.0,K4III,,K4 III,4426.0 K,1.27 M☉,11.0 R☉,42.0 L☉,2.5 cgs,1.4 km/s,5.2 Gyr,False
σ Ari,σ,43,,17769.0,13327.0,02h 51m 29.57s,+15° 04′ 55.7″,5.52,−0.32,479.0,B7V,,B7 V,13121.0 K,3.84 M☉,3.0 R☉,301.0 L☉,4.0 cgs,165.0 km/s,36.0 Myr,False
62 Ari,,62,,20825.0,15696.0,03h 22m 11.89s,+27° 36′ 27.3″,5.55,−1.82,973.0,G5III,,G5 III,4665.0 K,3.74 M☉,35.27 R☉,533.48 L☉,1.92 cgs,9.43 km/s,219.0 Myr,False
21 Ari,,21,,13872.0,10535.0,02h 15m 42.83s,+25° 02′ 35.7″,5.57,2.16,157.0,F6V,,F6 V,6299.0 K,1.338 M☉,,,4.12 cgs,12.6 km/s,2.2 Gyr,False
θ Ari,θ,22,,14191.0,10732.0,02h 18m 07.55s,+19° 54′ 04.2″,5.58,0.21,387.0,A1Vn,,A1 Vn,9500.0 K,2.94 M☉,2.5 R☉,106.0 L☉,4.0 cgs,186.0 km/s,107.0 Myr,False
ρ3 Ari,ρ3,46,,18256.0,13702.0,02h 56m 25.98s,+18° 01′ 25.1″,5.58,2.83,115.0,F6V,part of Al Buṭain; suspected BY Dra variable,F6 V,6380.0 K,1.49 M☉,,6.65 L☉,4.19 cgs,15.0 km/s,2.4 Gyr,False
10 Ari,,10,,12558.0,9621.0,02h 03m 39.26s,+25° 56′ 07.6″,5.64,2.02,172.0,F8IV,,F8 IV + F9 V,,,,,,,1.9 Gyr,False
31 Ari,,31,,16234.0,12153.0,02h 36m 37.75s,+12° 26′ 52.2″,5.64,2.91,115.0,F7V,,F7 V + F7 V,6137.0 K,,,,,5.0 km/s,2.8 Gyr,False
15 Ari,,15,AV,13325.0,10155.0,02h 10m 37.54s,+19° 30′ 01.5″,5.68,−0.87,665.0,M3III,"semiregular variable, Vmax = 5.67m, Vmin = 5.74m, P = 5.0320 d",M3 III,3565.0 K,1.4 M☉,87.0 R☉,781.0 L☉,,,,False
19 Ari,,19,,13596.0,10328.0,02h 13m 03.25s,+15° 16′ 47.7″,5.72,−0.38,541.0,M0III,"suspected variable, Vmax = 5.68m, Vmin = 5.76m",M0 III,3838.0 K,,39.36 R☉,301.969 L☉,,,,False
μ Ari,μ,34,,16811.0,12640.0,02h 42m 21.92s,+20° 00′ 41.7″,5.74,0.66,338.0,A0V,,A0 Vp + F2 V + A1 V,,3.4 M☉,,71.7 L☉,,175.0 km/s,,False
55 Ari,,55,,19548.0,14677.0,03h 09m 36.73s,+29° 04′ 37.6″,5.74,−1.96,1128.0,B8III,,B8 III,7961.0 K,4.1 M☉,9.49 R☉,326.0 L☉,2.948 cgs,196.0 km/s,,False
7 Ari,,7,RR,11763.0,8993.0,01h 55m 51.03s,+23° 34′ 38.4″,5.76,−0.26,522.0,K1III,not variable,K1 III,4500.0 K,,25.0 R☉,231.3 L☉,,1.8 km/s,,False
ρ2 Ari,ρ2,45,RZ,18191.0,13654.0,02h 55m 48.50s,+18° 19′ 54.0″,5.76,0.30,403.0,M6IIIvar,"semiregular variable, Vmax = 5.45m, Vmin = 6.01m",M6 III,3400.0 K,1.21 M☉,107.9 R☉,1390.0 L☉,0.5 cgs,<909.0 days,,False
ο Ari,ο,37,,17036.0,12803.0,02h 44m 32.97s,+15° 18′ 42.8″,5.78,−0.07,482.0,B9Vn,,B9 Vn,10715.0 K,2.78 M☉,4.27 R☉,217.0 L☉,3.62 cgs,225.0 km/s,286.0 Myr,False
56 Ari,,56,SX,19832.0,14893.0,03h 12m 14.24s,+27° 15′ 25.2″,5.78,0.50,371.0,B9p Si,"prototype SX Ari variable, Vmax = 5.75m, Vmin = 5.81m, P = 0.727902 d",B9pSi,12800.0 K,3.2 M☉,2.38 R☉,138.0 L☉,3.97 cgs,0.7278972 days,174.0 Myr,False
20 Ari,,20,,13871.0,10540.0,02h 15m 45.94s,+25° 46′ 59.2″,5.79,2.77,131.0,F6IV-V,,F6 III-IVor F6 IV-V,6416.0 K,1.49 M☉,1.94 R☉,6.6 L☉,4.03 cgs,8.0 km/s,2.19 Gyr,False
47 Ari,,47,,18404.0,13834.0,02h 58m 05.08s,+20° 40′ 07.7″,5.8,3.29,104.0,F5IV,suspected variable,F5 V(e)or F5 IV,6633.0 K,1.55 M☉,,4.43 L☉,4.19 cgs,25.0 km/s,2.052 Gyr,False
1 Ari A,,1,,11154.0,8544.0,01h 50m 08.58s,+22° 16′ 31.3″,5.83,−0.40,574.0,K1III+...,binary star,K1 III + A6 V,,,,141.51 L☉,,,,False
40 Ari,,40,,17459.0,13108.0,02h 48m 32.06s,+18° 17′ 01.9″,5.83,−0.11,502.0,K1III,,K1 III,4473.0 K,1.6 M☉,19.74 R☉,127.98 L☉,2.09 cgs,,2.63 Gyr,False
