Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
LZ CMa,,,LZ,54912.0,34579.0,07h 09m 43.03s,−25° 13′ 51.8″,5.69,−3.06,1831,B2V,"β Lyr variable, ΔV = 0.03m",,,,,,,,,False
R CMa,,,R,57167.0,35487.0,07h 19m 28.08s,−16° 23′ 41.7″,5.70,2.48,144,F2III/IV,"Algol variable, Vmax = 5.7m, Vmin = 6.34m, P = 1.1359405 d",F0V + G8IV,7300.0 K,1.67 M☉,1.78 R☉,8.2 L☉,4.16 cgs,78.3 km/s,,False
ν1 CMa,ν1,6.0,,47138.0,31564.0,06h 36m 22.86s,−18° 39′ 35.8″,5.71,1.07,277,G8III/F3V...,,G8 III + F3 IV-V,6091.0 K,1.41 M☉,7.1 R☉,8.0 L☉,3.0 cgs,4.8 km/s,3.07 Gyr,False
IY CMa,,,IY,45871.0,30840.0,06h 28m 39.24s,−32° 22′ 16.7″,5.74,−1.27,823,B5IV,Be star; eclipsing binary,,,,,,,,,False
HD 50123,,,HZ,50123.0,32810.0,06h 50m 23.35s,−31° 42′ 21.9″,5.74,−0.97,718,B3V,"rotating ellipsoidal variable, Vmax = 5.71m, Vmin = 5.79m",,,,,,,,,False
FV CMa,,,FV,54309.0,34360.0,07h 07m 22.59s,−23° 50′ 26.6″,5.75,−4.04,2964,B2V:nn,"γ Cas variable, Vmax = 5.64m, Vmin = 5.94m",,,,,,,,,False
17 CMa,,17.0,,51055.0,33248.0,06h 55m 02.74s,−20° 24′ 17.5″,5.80,−0.54,605,A2V,,A2 V,8872.0 K,2.84 M☉,,126.0 L☉,,43.0 km/s,,False
MZ CMa,,,MZ,57615.0,35626.0,07h 21m 04.34s,−25° 53′ 30.0″,5.87,−0.86,723,M3III,semiregular variable,,,,,,,,,False
26 CMa,,26.0,MM,55522.0,34798.0,07h 12m 12.22s,−25° 56′ 33.4″,5.91,−0.80,718,B2IV/V,53 Per variable,B2 IV/V,16157.0 K,5.5 M☉,3.25 R☉,1000.0 L☉,3.777 cgs,2.729±0.001,3.6 Myr,False
OS CMa,,,OS,54764.0,34561.0,07h 09m 33.37s,−16° 14′ 04.2″,6.00,,,B1Ib/II,α Cyg variable,,,,,,,,,False
HR 2800,,,HQ,57593.0,35611.0,07h 20m 54.92s,−26° 57′ 49.9″,6.00,−2.71,1801,B3V,"Algol variable, Vmax = 5.99m, Vmin = 6.25m, P = 24.6033 d",,,,,,,,,False
12 CMa,,12.0,HK,49333.0,32504.0,06h 47m 01.49s,−21° 00′ 55.5″,6.07,−0.49,668,B7II/III,α2 CVn variable,B7 II/IIIor B5 V,15830.0 K,4.8 M☉,2.73 R☉,537.0 L☉,4.23 cgs,2.18045 d,134.0 Myr,False
GY CMa,,,GY,55857.0,34924.0,07h 13m 36.45s,−27° 21′ 22.9″,6.12,−4.88,5175,B2II,"β Cep variable, ΔV = 0.04m, P = 0.112 d",,,,,,,,,False
HD 48501,,,V350,48501.0,32144.0,06h 42m 46.08s,−22° 26′ 55.8″,6.26,2.81,159,F2V,"γ Dor variable, Vmax = 6.18m, Vmin = 6.27m, P = 0.91401 d",,,,,,,,,False
HD 46407,,,HR,46407.0,31205.0,06h 32m 46.88s,−11° 09′ 59.0″,6.30,0.88,395,K0III:...,"Algol variable, Vmax = 6.24m, Vmin = 6.32m",,,,,,,,,False
KM CMa,,,KM,46347.0,31086.0,06h 31m 24.01s,−32° 52′ 06.8″,6.31,−1.10,988,M4III,semiregular variable,,,,,,,,,False
KX CMa,,,KX,50648.0,33040.0,06h 53m 00.31s,−26° 57′ 26.9″,6.33,−0.70,830,M6III,semiregular variable,,,,,,,,,False
HR 2680,,,IL,54031.0,34248.0,07h 06m 00.49s,−30° 39′ 20.6″,6.34,−0.69,830,B3V,"Algol and 53 Per variable, Vmax = 6.32m, Vmin = 6.54m, P = 8.09858 d",,,,,,,,,False
