Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
4 Vul,,4,,182762.0,95498.0,19h 25m 28.54s,+19° 47′ 54.7″,5.14,0.84,237.0,K0III,,K0 III,4763.0 K,1.72 M☉,11.42 R☉,67.6 L☉,3.01 cgs,2.9 km/s,2.63 Gyr,False
22 Vul,,22,QS,192713.0,99853.0,20h 15m 30.24s,+23° 30′ 32.1″,5.15,−5.44,4347.0,G2Ib SB,"Algol variable, ΔV = 0.12m, P = 249.083 d",G9Ib-II + B8V,4699.0 K,4.649 M☉,96.0 R☉,2188.0 L☉,,165.0 days,135.1 Myr,False
3 Vul,,3,V377,182255.0,95260.0,19h 22m 50.88s,+26° 15′ 44.7″,5.18,−0.24,402.0,B6III,"53 Persei variable, ΔV = 0.03m, P = 1.26239 d",B6 III,14343.0 K,4.16 M☉,,286.0 L☉,4.3 cgs,15.5 km/s,25.0 Myr,False
21 Vul,,21,NU,192518.0,99738.0,20h 14m 14.52s,+28° 41′ 41.5″,5.19,0.18,327.0,A7IVn,δ Sct variable,A7 IVnor A5 Vn,7739.0 K,2.36 M☉,1.5 R☉,67.4 L☉,3.34 cgs,222.0 km/s,356.0 Myr,False
16 Vul,,16,,190004.0,98636.0,20h 02m 01.37s,+24° 56′ 16.3″,5.23,1.17,211.0,F2III,,F2 III,6888.0 K,1.34 M☉,,31.13 L☉,3.76 cgs,136.1 km/s,742.0 Myr,False
24 Vul,,24,,192944.0,99951.0,20h 16m 47.08s,+24° 40′ 16.1″,5.3,−0.50,472.0,G8III,,G8III,4981.0 K,3.41 M☉,16.0 R☉,191.0 L☉,2.48 cgs,5.02 km/s,251.0 Myr,False
33 Vul,,33,,199697.0,103511.0,20h 58m 16.35s,+22° 19′ 33.3″,5.3,−0.13,397.0,K4III,,K3.5 III,4070.0 K,,35.34 R☉,333.7 L☉,1.91 cgs,,,False
35 Vul,,35,,204414.0,105966.0,21h 27m 40.03s,+27° 36′ 30.8″,5.39,1.66,182.0,A1V,,A1VmA3,9622.0 K,2.15 M☉,1.7 R☉,21.6 L☉,4.35 cgs,81.0 km/s,212.0 Myr,False
2 Vul,,2,ES,180968.0,94827.0,19h 17m 43.64s,+23° 01′ 32.0″,5.42,−3.39,1918.0,B0.5IV,"β Cep variable, ΔV = 0.06m, P = 0.6096 d",B1 IV,26850.0 K,12.5 M☉,,21922.0 L☉,,270.0 km/s,12.6 Myr,False
10 Vul,,10,,186486.0,97077.0,19h 43m 42.92s,+25° 46′ 18.7″,5.5,0.31,356.0,G8III,,G8 III,5008.0 K,2.35 M☉,13.0 R☉,72.0 L☉,3.08 cgs,,1.15 Gyr,False
25 Vul,,25,,193911.0,100435.0,20h 22m 03.43s,+24° 26′ 46.0″,5.5,−3.21,1801.0,B8IIIn,"suspected variable, Vmax = 5.51m, Vmin = 5.54m",B6 IVe,13170.0 K,7.0 M☉,11.0 R☉,1345.0 L☉,3.52 cgs,160.0 km/s,,False
19 Vul,,19,,192004.0,99518.0,20h 11m 47.97s,+26° 48′ 32.5″,5.51,−2.96,1614.0,K3II-III,,K2 IIIa,4200.0 K,4.94 M☉,100.3 R☉,2889.0 L☉,1.4 cgs,<3.4 km/s,,False
18 Vul,,18,,191747.0,99404.0,20h 10m 33.52s,+26° 54′ 14.9″,5.53,−0.04,420.0,A3III,"δ Sct variable, Vmax = 5.52m, Vmin = 5.53m",A3III or A3V,8300.0 K,2.4 M☉,3.5 R☉,,3.73 cgs,,,False
27 Vul,,27,,196504.0,101716.0,20h 37m 04.66s,+26° 27′ 43.1″,5.59,0.73,305.0,B9V,,B9 V,10789.0 K,2.77 M☉,3.1 R☉,75.0 L☉,3.781 cgs,335.0 km/s,,False
5 Vul,,5,,182919.0,95560.0,19h 26m 13.24s,+20° 05′ 52.2″,5.6,1.47,218.0,A0V,,A0 V,9840.0 K,2.33 M☉,2.7 R☉,34.0 L☉,4.0 cgs,154.0 km/s,198.0 Myr,False
T Vul,,,T,198726.0,102949.0,20h 51m 28.24s,+28° 15′ 01.9″,5.66,−2.89,1672.0,F5Ib,"classical Cepheid, Vmax = 5.41m, Vmin = 6.09m, P = 4.435462 d",F5 Ib + A0.8 V,6220.0 K,4.9 M☉,35.6 R☉,1620.0 L☉,1.75 cgs,,120.0 Myr,False
14 Vul,,14,,189410.0,98375.0,19h 59m 10.58s,+23° 06′ 04.6″,5.68,2.26,158.0,F0,,F1 Vn,6938.0 K,1.52 M☉,,11.09 L☉,3.81 cgs,150.0 km/s,1.743 Gyr,False
8 Vul,,8,,183491.0,95785.0,19h 28m 57.08s,+24° 46′ 07.3″,5.82,−0.04,484.0,K0III,suspected variable,K0 III,4915.0 K,3.07 M☉,13.8 R☉,100.5 L☉,2.63 cgs,,324.0 Myr,False
20 Vul,,20,,192044.0,99531.0,20h 12m 00.70s,+26° 28′ 43.8″,5.91,−1.81,1140.0,B7Ve...,"variable star, Vmax = 5.87m, Vmin = 5.92m",B7 Ve,12050.0 K,4.02 M☉,3.0 R☉,460.0 L☉,2.9 cgs,236.0 km/s,,False
3 Cyg,,(3),,182807.0,95492.0,19h 25m 25.87s,+24° 54′ 51.5″,6.19,3.97,90.0,F7V,,,,,,,,,,False
PS Vul,,,PS,186518.0,97091.0,19h 43m 55.97s,+27° 08′ 07.5″,6.28,−4.35,4347.0,B7V + G1:III,"Algol variable, Vmax = 6.28m, Vmin = 6.35m, P = 3.8173 d",,,,,,,,,False
V387 Vul,,,V387,176541.0,93270.0,18h 59m 58.12s,+22° 48′ 52.2″,6.28,−0.55,756.0,M4III,semiregular variable,,,,,,,,,False
HR 7556,,,V379,187640.0,97572.0,19h 49m 54.72s,+28° 26′ 22.8″,6.29,−2.13,1698.0,B5V,"rotating ellipsoidal variable, Vmax = 6.22m, Vmin = 6.29m",,,,,,,,,False
7 Vul,,7,,183537.0,95818.0,19h 29m 20.90s,+20° 16′ 47.2″,6.34,−0.50,760.0,B5Vn,"variable star, ΔV = 0.009m, P = 0.55923 d",B4–5 III–IVe+ sdB/sdO,15600.0 K,4.25 M☉,5.2 R☉,,3.75 cgs,300.0 km/s,80.0 Myr,False
26 Vul,,26,,196362.0,101641.0,20h 36m 08.32s,+25° 52′ 57.4″,6.4,−0.26,701.0,A5III,,A5 III,7888.0 K,,4.6 R☉,79.75 L☉,,15.0 km/s,,False
BW Vul,,,BW,199140.0,103191.0,20h 54m 22.39s,+28° 31′ 19.2″,6.54,−2.13,1772.0,B2IIIvar,"β Cep variable, Vmax = 6.44m, Vmin = 6.68m, P = 0.20104117 d",B2 IIIv,23014.0 K,14.0 M☉,,515.14 L☉,3.71 cgs,24.0 km/s,3.4 Myr,False
HR 7222,,,LT,177392.0,93603.0,19h 03m 42.48s,+21° 16′ 06.1″,6.62,,373.0,F2III,"δ Sct variable, Vmax = 6.52m, Vmin = 6.62m, P = 0.109 d",,,,,,,,,False
HD 192913,,,MW,192913.0,99927.0,20h 16m 27.20s,+27° 46′ 33.9″,6.64,,1610.0,A0p,"α2 CVn variable, Vmax = 6.62m, Vmin = 6.7m, P = 16.846 d",,,,,,,,,False
