Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
BE Cap,,,BE,191639.0,99457.0,20h 11m 10.08s,−08° 50′ 32.4″,6.39,,2330.0,B1V,"γ Cas variable, Vmax = 6.16m, Vmin = 6.49m",,,,,,,,,False
ο Cap B,ο,12.0,,195093.0,101120.0,20h 29m 52.58s,−18° 35′ 10.2″,6.74,3.63,136.0,A7/A8V,component of the ο Cap system,A1 V,10492.0 K,2.05 M☉,,18.6 L☉,4.23 cgs,276.0 km/s,118.0 Myr,False
τ1 Cap,τ1,13.0,,196348.0,101751.0,20h 37m 21.16s,−15° 08′ 50.0″,6.76,−0.40,883.0,K1III,,K1 III,4272.0 K,1.18 M☉,25.0 R☉,191.0 L☉,1.81 cgs,,,False
50 Cap,,50.0,,207061.0,107527.0,21h 46m 42.09s,−11° 41′ 52.2″,7.01,3.04,203.0,F6V,,,,,,,,,,False
31 Cap,,31.0,,202723.0,105168.0,21h 18m 15.64s,−17° 27′ 44.2″,7.07,1.99,338.0,F0V,,,,,,,,,,False
HD 205249,,,AS,205249.0,106497.0,21h 34m 16.57s,−13° 29′ 01.5″,7.69,,610.0,K0IIIp,"RS CVn variable, Vmax = 7.53m, Vmin = 7.80m, P = 60.64 d",,,,,,,,,False
RS Cap,,,RS,200994.0,104252.0,21h 07m 15.43s,−16° 25′ 21.5″,8.36,,2590.0,M6/M7III,semiregular variable,,,,,,,,,False
AT Cap,,,AT,195040.0,101098.0,20h 29m 36.86s,−21° 07′ 34.7″,8.87,,4500.0,G6III/IV,"RS CVn variable, Vmax = 8.87m, Vmin = 9.18m",,,,,,,,,False
AD Cap,,,AD,206046.0,106961.0,21h 39m 48.92s,−16° 00′ 21.0″,9.77,,1010.0,K0IV/V,"RS CVn variable, ΔV = 0.262m, P = 2.9592 d",,,,,,,,,False
HD 358623,,,AZ,358623.0,,20h 56m 02.74s,−17° 10′ 53.7″,10.48,,,K6Ve+M2,"T Tau star, ΔV = 0.098m, P = 3.403 d",,,,,,,,,False
TW Cap,,,TW,,99765.0,20h 14m 28.42s,−13° 50′ 07.9″,10.7,,,A5Ib...,"W Vir variable, Vmax = 9.95m, Vmin = 11.4m, P = 28.585 d",,,,,,,,,False
RV Cap,,,RV,,103755.0,21h 01m 28.87s,−15° 13′ 46.1″,10.97,,,A8,"RR Lyr variable, Vmax = 10.22m, Vmin = 11.57m, P = 0.44774401 d",,,,,,,,,False
YZ Cap,,,YZ,358431.0,105285.0,21h 19m 32.41s,−15° 07′ 01.2″,11.09,,793.0,F5,"RR Lyr variable, Vmax = 11.02m, Vmin = 11.6m, P = 0.2734563 d",,,,,,,,,False
Wolf 922,,,BB,,106255.0,21h 31m 18.61s,−09° 47′ 26.5″,11.99,,27.049,M4.5e,"BY Dra variable, Vmax = 11.96m, Vmin = 11.99m",M4.0V + M,,0.27 M☉,0.3 R☉,,,10.0 km/s,,False
