Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
42 Cas,,42.0,,10250.0,8016.0,01h 42m 55.73s,+70° 37′ 21.2″,5.18,0.51,281.0,B9V,suspected Algol variable,B9 V,10141.0 K,2.68 M☉,2.63 R☉,66.12 L☉,3.98 cgs,149.0 km/s,67.0 Myr,False
49 Cas,,49.0,,12339.0,9763.0,02h 05m 31.58s,+76° 06′ 54.4″,5.22,−0.36,426.0,G8III,,G8III,5087.0 K,2.6 M☉,16.6 R☉,140.0 L☉,2.66 cgs,1.2 km/s,647.0 Myr,False
47 Cas,,47.0,,12230.0,9727.0,02h 05m 07.05s,+77° 16′ 53.2″,5.27,2.64,109.0,F0Vn,,F0Vn,6.97 K,15.0 M☉,2.2 R☉,10.0 L☉,4.01 cgs,,1.3 Gyr,False
40 Cas,,40.0,,9774.0,7650.0,01h 38m 30.94s,+73° 02′ 24.3″,5.28,−0.40,447.0,G8II-III,suspected variable,,,,,,,,,False
31 Cas,,31.0,,6829.0,5518.0,01h 10m 39.27s,+68° 46′ 43.3″,5.32,0.38,318.0,A0Vnn,,,,,,,,,,False
12 Cas,,12.0,,2011.0,1960.0,00h 24m 47.49s,+61° 49′ 51.8″,5.38,−1.47,763.0,B9III,,B9III,10728.0 K,3.1 M☉,5.7 R☉,386.0 L☉,2.94 cgs,155.0 km/s,257.0 Myr,False
23 Cas,,23.0,,4382.0,3721.0,00h 47m 46.02s,+74° 50′ 51.3″,5.42,−1.54,803.0,B8III,,,,,,,,,,False
6 Cas,,6.0,V566,223385.0,117447.0,23h 48m 50.17s,+62° 12′ 52.3″,5.43,−8.06,6150.0,A3Ia comp,"α Cyg variable, Vmax = 5.34m, Vmin = 5.45m, P = 37.26 d",A2.5 Ia+,10023.0 K,22.0 M☉,193.0 R☉,200000.0 L☉,1.59 cgs,50.0 km/s,,False
10 Cas,,10.0,,144.0,531.0,00h 06m 26.53s,+64° 11′ 46.2″,5.57,−1.82,982.0,B9III,suspected variable,B9IIIe,11351.0 K,3.2 M☉,8.3 R☉,920.0 L☉,2.08 cgs,1.07 d,218.0 Myr,False
32 Cas,,32.0,RU,6972.0,5589.0,01h 11m 41.37s,+65° 01′ 08.0″,5.57,0.34,363.0,B9IV,"RU Cas, suspected constant",,,,,,,,,False
43 Cas,,43.0,V557,10221.0,7965.0,01h 42m 20.44s,+68° 02′ 35.0″,5.57,−0.10,444.0,A0p SiSr,"α2 CVn variable, Vmax = 5.55m, Vmin = 5.64m, P = 3.18 d",,,,,,,,,False
HR 9059,,,V1022,224355.0,118077.0,23h 57m 08.49s,+55° 42′ 20.6″,5.57,1.45,218.0,G8Ib,"Algol variable, Vmax = 5.56m, Vmin = 5.68m, P = 12.16 d",,,,,,,,,False
HD 1976,,,V746,1976.0,1921.0,00h 24m 15.64s,+52° 01′ 11.7″,5.58,−2.54,1370.0,B5IV,spectroscopic binary; slowly pulsating B star,(B5IV+ unknown) + ~B5-6IV,16526.0 K,6.348 M☉,5.24 R☉,,3.81 cgs,170.0 km/s,60.0 Myr,False
53 Cas,,53.0,,12301.0,9573.0,02h 03m 00.19s,+64° 23′ 24.1″,5.59,−4.54,3468.0,B8Ib,,,,,,,,,,False
HR 511,,,V987,10780.0,8362.0,01h 47m 44.06s,+63° 51′ 11.2″,5.63,5.64,33.0,K0V,"BY Draconis variable, ΔV = 0.05m, P = 21.7 d",K0 V,5407.0 K,0.825 M☉,0.819 R☉,0.516 L☉,,21.67 days,3.5 Gyr,False
